ID,Reference,Data source,Longitude,Latitude,Elevation,MAT,MAP,PET,Climate,Ecosystem type,Methods,Site,MurA,GlcN,SOC,TN,TP,C/N,MBC,MBN,MBC/N,pH,Sand,Silt,Clay
31,3,A1,-99.37,40.43,712,11.60,666.00,1525,D,Grassland,GC,"Holdrege, KS",155.48,2146.82,29.90,3.02,0.4,9.90,304.20 ,58.52 ,5.20 ,6.20,52.80,22.90,24.40
32,3,A1,-99.32,38.87,611,12.20,573.00,1752,D,Grassland,GC,"Hayes, KS",121.00,1897.50,27.50,2.68,0.5,10.26,330.22 ,55.60 ,5.94 ,7.10,54.70,17.80,27.50
33,3,A1,-96.68,40.32,399,10.90,792.00,1444,D,Grassland,GC,"Lincoln, NE",222.75,2997.00,40.50,3.46,0.5,11.71,285.45 ,59.41 ,4.80 ,5.60,40.20,27.50,32.30
34,3,A1,-96.57,39.18,314,12.40,791.00,1519,D,Grassland,GC,"Manhattan, KS",153.50,2053.83,30.70,2.86,0.5,10.73,414.21 ,58.92 ,7.03 ,6.00,40.40,26.50,33.20
35,3,A1,-95.25,37.33,269,14.20,1000.00,1551,C,Grassland,GC,"Parsons, KS",96.48,2114.52,26.80,2.46,0.7,10.89,247.22 ,63.52 ,3.89 ,4.90,46.20,35.50,18.20
36,3,A1,-101.48,32.24,757,17.10,466.00,2348,B,Grassland,GC,"Big Spring, TX",62.15,558.22,11.30,1.16,0.3,9.74,213.66 ,62.55 ,3.42 ,7.40,72.10,7.10,20.90
37,3,A1,-96.55,29.70,61,20.00,1030.00,1655,C,Grassland,GC,"Columbus, TX",101.91,1156.56,23.70,1.92,0.5,12.34,196.87 ,51.81 ,3.80 ,7.40,61.40,13.60,25.10
38,3,A1,-94.13,30.08,9,20.30,1308.00,1619,C,Grassland,GC,"Beaumout, TX",143.26,1444.95,24.70,2.15,0.7,11.49,178.08 ,51.51 ,3.46 ,5.90,54.30,19.90,25.80
39,3,A1,-98.07,27.75,67,22.20,700.00,1920,C,Grassland,GC,"Alice, TX",81.00,1023.75,22.50,1.75,0.5,12.86,190.23 ,58.11 ,3.27 ,7.60,67.60,6.60,25.90
40,3,A1,-99.33,27.77,174,23.40,440.00,2128,B,Grassland,GC,"Webb County, TX",54.40,630.40,16.00,1.40,0.3,11.43,199.80 ,64.10 ,3.12 ,7.60,50.40,21.20,28.40
